,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
1231,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Asutifi (Kenyasi),-2.515068054,7.028093815,341,355.5,34
1232,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Catering,Accra Metropolitan,-0.197115257,5.607395649,NA,NA,NA
1233,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Akatsi,0.842700481,6.206889153,230,265.6125,80
1234,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Ahanta West (Agona Ahanta),-1.990561366,4.834703922,288,318.7777778,45
1235,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Akatsi,0.842700481,6.206889153,224,240.1818182,11
1236,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Kwahu South (Mpraeso),-0.635528684,6.619226456,262,293.4,40
1237,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Cape Coast Municipal,-1.306593895,5.153656006,202,258.375,80
1238,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Kumasi Metro,-1.597187161,6.682059765,346,367.85,20
1239,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Tamale,-0.784348249,9.383351326,231,248.84,50
1240,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765,207,232.2,10
1241,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Birim North ( New Abirem),-1.021674633,6.22278738,219,252.0588235,34
1242,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418,241,267.0222222,45
